"userid","expertise","language_skill","gender","age","country","continent"
51,"2 Music-loving nonmusician","2 Elementary proficiency","male",26,"TR","Asia"
52,"5 Semi-professional musician","5 Full professional proficiency","female",25,"ES","Europe"
53,"2 Music-loving nonmusician","3 Limited working proficiency","male",29,"BO","South America"
54,"6 Professional musician","4 Professional working proficiency","male",17,"RO","Europe"
56,"3 Amateur musician","3 Limited working proficiency","male",50,"BD","Asia"
57,"2 Music-loving nonmusician","4 Professional working proficiency","male",28,"GR","Europe"
58,"1 Nonmusician","4 Professional working proficiency","male",32,"VE","South America"
59,"2 Music-loving nonmusician","5 Full professional proficiency","male",29,"IN","Asia"
60,"1 Nonmusician","1 No proficiency","male",19,"BD","Asia"
61,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",52,"BR","South America"
62,"1 Nonmusician","1 No proficiency","male",19,"BA","Europe"
63,"1 Nonmusician","4 Professional working proficiency","female",21,"SK","Europe"
65,"1 Nonmusician","4 Professional working proficiency","male",34,"PK","Asia"
66,"1 Nonmusician","2 Elementary proficiency","male",18,"VE","South America"
67,"1 Nonmusician","2 Elementary proficiency","male",19,"VE","South America"
68,"2 Music-loving nonmusician","2 Elementary proficiency","female",36,"RU","Europe"
70,"2 Music-loving nonmusician","2 Elementary proficiency","male",33,"TR","Asia"
71,"1 Nonmusician","3 Limited working proficiency","male",43,"IT","Europe"
72,"3 Amateur musician","4 Professional working proficiency","male",78,"TR","Asia"
73,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",19,"ES","Europe"
74,"2 Music-loving nonmusician","4 Professional working proficiency","male",42,"MX","North America"
75,"2 Music-loving nonmusician","3 Limited working proficiency","male",35,"IT","Europe"
76,"3 Amateur musician","2 Elementary proficiency","male",34,"AR","South America"
77,"3 Amateur musician","3 Limited working proficiency","male",37,"RS","Europe"
78,"2 Music-loving nonmusician","4 Professional working proficiency","male",28,"ID","Asia"
79,"1 Nonmusician","3 Limited working proficiency","male",43,"PT","Europe"
80,"1 Nonmusician","4 Professional working proficiency","male",29,"GR","Europe"
81,"2 Music-loving nonmusician","3 Limited working proficiency","female",30,"IT","Europe"
82,"2 Music-loving nonmusician","3 Limited working proficiency","male",24,"MX","North America"
83,"3 Amateur musician","5 Full professional proficiency","female",54,"HR","Europe"
84,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",28,"HR","Europe"
85,"2 Music-loving nonmusician","4 Professional working proficiency","female",29,"IN","Asia"
87,"3 Amateur musician","3 Limited working proficiency","male",28,"BA","Europe"
88,"1 Nonmusician","1 No proficiency","male",64,"DE","Europe"
90,"2 Music-loving nonmusician","4 Professional working proficiency","male",44,"SA","Asia"
91,"6 Professional musician","2 Elementary proficiency","male",44,"PL","Europe"
92,"5 Semi-professional musician","3 Limited working proficiency","male",23,"TR","Asia"
94,"3 Amateur musician","3 Limited working proficiency","male",28,"MY","Asia"
95,"1 Nonmusician","6 Native or bilingual proficiency","female",23,"BG","Europe"
96,"1 Nonmusician","3 Limited working proficiency","male",74,"CA","North America"
98,"2 Music-loving nonmusician","3 Limited working proficiency","male",21,"RS","Europe"
99,"3 Amateur musician","4 Professional working proficiency","male",25,"TR","Asia"
100,"2 Music-loving nonmusician","5 Full professional proficiency","male",24,"RS","Europe"
101,"2 Music-loving nonmusician","2 Elementary proficiency","male",36,"RU","Europe"
102,"4 Serious amateur musician","3 Limited working proficiency","female",30,"IT","Europe"
103,"2 Music-loving nonmusician","4 Professional working proficiency","female",26,"ES","Europe"
104,"2 Music-loving nonmusician","3 Limited working proficiency","female",24,"IT","Europe"
105,"2 Music-loving nonmusician","5 Full professional proficiency","female",33,"MY","Asia"
106,"6 Professional musician","3 Limited working proficiency","male",39,"MX","North America"
107,"4 Serious amateur musician","5 Full professional proficiency","female",54,"FR","Europe"
108,"2 Music-loving nonmusician","3 Limited working proficiency","female",50,"RS","Europe"
109,"1 Nonmusician","2 Elementary proficiency","male",38,"RS","Europe"
110,"2 Music-loving nonmusician","2 Elementary proficiency","male",38,"ES","Europe"
111,"2 Music-loving nonmusician","4 Professional working proficiency","female",23,"PT","Europe"
112,"2 Music-loving nonmusician","2 Elementary proficiency","male",40,"HR","Europe"
113,"1 Nonmusician","4 Professional working proficiency","male",25,"UY","South America"
114,"2 Music-loving nonmusician","4 Professional working proficiency","female",29,"BA","Europe"
115,"1 Nonmusician","2 Elementary proficiency","male",47,"PT","Europe"
116,"3 Amateur musician","2 Elementary proficiency","female",28,"BA","Europe"
117,"1 Nonmusician","3 Limited working proficiency","male",26,"BA","Europe"
118,"1 Nonmusician","3 Limited working proficiency","male",25,"BD","Asia"
119,"1 Nonmusician","4 Professional working proficiency","male",28,"TR","Asia"
120,"1 Nonmusician","2 Elementary proficiency","female",,"VN","Asia"
121,"2 Music-loving nonmusician","2 Elementary proficiency","male",42,"MX","North America"
122,"2 Music-loving nonmusician","5 Full professional proficiency","male",23,"VE","South America"
123,"2 Music-loving nonmusician","5 Full professional proficiency","male",26,"RO","Europe"
125,"2 Music-loving nonmusician","4 Professional working proficiency","female",29,"HR","Europe"
126,"2 Music-loving nonmusician","3 Limited working proficiency","male",20,"RS","Europe"
128,"2 Music-loving nonmusician","5 Full professional proficiency","male",29,"RS","Europe"
129,"2 Music-loving nonmusician","3 Limited working proficiency","male",30,"RS","Europe"
130,"2 Music-loving nonmusician","3 Limited working proficiency","male",37,"RO","Europe"
131,"6 Professional musician","3 Limited working proficiency","male",33,"BD","Asia"
132,"2 Music-loving nonmusician","3 Limited working proficiency","male",31,"ID","Asia"
133,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",53,"NZ","Oceania"
134,"5 Semi-professional musician","4 Professional working proficiency","female",28,"TR","Asia"
135,"2 Music-loving nonmusician","4 Professional working proficiency","male",39,"ES","Europe"
136,"2 Music-loving nonmusician","4 Professional working proficiency","female",59,"CA","North America"
140,"2 Music-loving nonmusician","4 Professional working proficiency","female",19,"IT","Europe"
141,"2 Music-loving nonmusician","4 Professional working proficiency","female",41,"IN","Asia"
142,"1 Nonmusician","2 Elementary proficiency","male",29,"VE","South America"
143,"2 Music-loving nonmusician","5 Full professional proficiency","male",41,"US","North America"
144,"1 Nonmusician","4 Professional working proficiency","male",26,"PK","Asia"
145,"3 Amateur musician","3 Limited working proficiency","male",53,"PE","South America"
146,"1 Nonmusician","1 No proficiency","male",42,"RU","Europe"
147,"4 Serious amateur musician","3 Limited working proficiency","male",26,"ID","Asia"
148,"2 Music-loving nonmusician","2 Elementary proficiency","female",24,"AT","Europe"
149,"2 Music-loving nonmusician","3 Limited working proficiency","female",30,"MY","Asia"
150,"2 Music-loving nonmusician","3 Limited working proficiency","male",28,"MX","North America"
151,"2 Music-loving nonmusician","3 Limited working proficiency","male",57,"NL","Europe"
152,"3 Amateur musician","6 Native or bilingual proficiency","male",38,"UA","Europe"
153,"2 Music-loving nonmusician","4 Professional working proficiency","male",40,"IT","Europe"
155,"2 Music-loving nonmusician","3 Limited working proficiency","female",25,"PK","Asia"
156,"2 Music-loving nonmusician","3 Limited working proficiency","male",25,"IN","Asia"
157,"2 Music-loving nonmusician","2 Elementary proficiency","male",20,"PE","South America"
158,"1 Nonmusician","3 Limited working proficiency","male",21,"EG","Africa"
159,"3 Amateur musician","1 No proficiency","male",30,"CO","South America"
160,"2 Music-loving nonmusician","3 Limited working proficiency","male",44,"ES","Europe"
161,"2 Music-loving nonmusician","3 Limited working proficiency","female",47,"RO","Europe"
163,"1 Nonmusician","6 Native or bilingual proficiency","male",44,"GB","Europe"
165,"2 Music-loving nonmusician","2 Elementary proficiency","male",46,"HU","Europe"
166,"1 Nonmusician","3 Limited working proficiency","female",33,"ES","Europe"
167,"2 Music-loving nonmusician","4 Professional working proficiency","male",36,"IT","Europe"
168,"1 Nonmusician","4 Professional working proficiency","male",33,"IN","Asia"
169,"1 Nonmusician","4 Professional working proficiency","male",41,"HK","Asia"
170,"1 Nonmusician","1 No proficiency","female",35,"PK","Asia"
171,"2 Music-loving nonmusician","3 Limited working proficiency","male",24,"LV","Europe"
172,"3 Amateur musician","5 Full professional proficiency","male",47,"PK","Asia"
174,"2 Music-loving nonmusician","4 Professional working proficiency","male",23,"IN","Asia"
175,"2 Music-loving nonmusician","2 Elementary proficiency","male",38,"HR","Europe"
176,"3 Amateur musician","4 Professional working proficiency","male",24,"BA","Europe"
177,"1 Nonmusician","3 Limited working proficiency","female",34,"PH","Asia"
179,"3 Amateur musician","2 Elementary proficiency","female",51,"VE","South America"
180,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",24,"BA","Europe"
181,"2 Music-loving nonmusician","4 Professional working proficiency","male",35,"ID","Asia"
182,"1 Nonmusician","2 Elementary proficiency","male",24,"VN","Asia"
183,"1 Nonmusician","4 Professional working proficiency","male",33,"NL","Europe"
185,"1 Nonmusician","2 Elementary proficiency","female",24,"BA","Europe"
187,"3 Amateur musician","3 Limited working proficiency","male",30,"RU","Europe"
188,"1 Nonmusician","5 Full professional proficiency","female",30,"ES","Europe"
189,"3 Amateur musician","2 Elementary proficiency","male",39,"BG","Europe"
190,"1 Nonmusician","3 Limited working proficiency","male",26,"FR","Europe"
191,"3 Amateur musician","3 Limited working proficiency","male",23,"DZ","Africa"
194,"2 Music-loving nonmusician","2 Elementary proficiency","male",24,"UA","Europe"
195,"2 Music-loving nonmusician","4 Professional working proficiency","female",31,"PH","Asia"
196,"2 Music-loving nonmusician","4 Professional working proficiency","male",39,"HU","Europe"
197,"2 Music-loving nonmusician","4 Professional working proficiency","male",18,"IN","Asia"
198,"2 Music-loving nonmusician","5 Full professional proficiency","male",30,"ID","Asia"
199,"2 Music-loving nonmusician","2 Elementary proficiency","male",40,"MD","Europe"
201,"2 Music-loving nonmusician","3 Limited working proficiency","male",32,"IT","Europe"
202,"1 Nonmusician","2 Elementary proficiency","male",31,"BA","Europe"
203,"2 Music-loving nonmusician","3 Limited working proficiency","male",25,"LK","Asia"
204,"2 Music-loving nonmusician","4 Professional working proficiency","male",,"ES","Europe"
205,"3 Amateur musician","2 Elementary proficiency","male",20,"DZ","Africa"
207,"2 Music-loving nonmusician","4 Professional working proficiency","male",36,"PT","Europe"
208,"4 Serious amateur musician","4 Professional working proficiency","male",28,"TR","Asia"
209,"3 Amateur musician","2 Elementary proficiency","male",27,"US","North America"
211,"2 Music-loving nonmusician","4 Professional working proficiency","male",46,"IN","Asia"
212,"3 Amateur musician","6 Native or bilingual proficiency","male",32,"PT","Europe"
213,"2 Music-loving nonmusician","5 Full professional proficiency","female",26,"RS","Europe"
214,"2 Music-loving nonmusician","2 Elementary proficiency","male",26,"PE","South America"
216,"2 Music-loving nonmusician","3 Limited working proficiency","male",28,"PL","Europe"
218,"1 Nonmusician","5 Full professional proficiency","male",25,"LK","Asia"
219,"1 Nonmusician","6 Native or bilingual proficiency","male",48,"CA","North America"
220,"2 Music-loving nonmusician","4 Professional working proficiency","male",18,"TR","Asia"
223,"2 Music-loving nonmusician","3 Limited working proficiency","female",37,"TR","Asia"
224,"2 Music-loving nonmusician","3 Limited working proficiency","male",31,"TR","Asia"
225,"5 Semi-professional musician","3 Limited working proficiency","female",38,"ES","Europe"
226,"1 Nonmusician","2 Elementary proficiency","male",31,"BA","Europe"
227,"5 Semi-professional musician","6 Native or bilingual proficiency","male",19,"US","North America"
228,"3 Amateur musician","3 Limited working proficiency","male",19,"CZ","Europe"
229,"3 Amateur musician","4 Professional working proficiency","female",25,"PH","Asia"
230,"2 Music-loving nonmusician","3 Limited working proficiency","male",42,"RS","Europe"
231,"2 Music-loving nonmusician","3 Limited working proficiency","male",25,"TR","Asia"
232,"2 Music-loving nonmusician","3 Limited working proficiency","female",41,"RU","Europe"
233,"1 Nonmusician","3 Limited working proficiency","male",23,"VE","South America"
234,"2 Music-loving nonmusician","3 Limited working proficiency","female",47,"RS","Europe"
235,"2 Music-loving nonmusician","3 Limited working proficiency","female",25,"TR","Asia"
236,"4 Serious amateur musician","4 Professional working proficiency","male",29,"BA","Europe"
238,"1 Nonmusician","2 Elementary proficiency","female",39,"BG","Europe"
239,"5 Semi-professional musician","4 Professional working proficiency","male",26,"TR","Asia"
240,"1 Nonmusician","3 Limited working proficiency","male",46,"RU","Europe"
241,"2 Music-loving nonmusician","3 Limited working proficiency","male",25,"RS","Europe"
242,"2 Music-loving nonmusician","4 Professional working proficiency","male",27,"RU","Europe"
244,"2 Music-loving nonmusician","3 Limited working proficiency","male",27,"VE","South America"
245,"2 Music-loving nonmusician","2 Elementary proficiency","male",30,"CY","Europe"
246,"3 Amateur musician","2 Elementary proficiency","male",33,"RS","Europe"
247,"1 Nonmusician","3 Limited working proficiency","male",24,"RS","Europe"
248,"1 Nonmusician","2 Elementary proficiency","female",39,"VE","South America"
249,"2 Music-loving nonmusician","4 Professional working proficiency","male",41,"HU","Europe"
251,"2 Music-loving nonmusician","5 Full professional proficiency","male",53,"AR","South America"
252,"1 Nonmusician","1 No proficiency","male",22,"CL","South America"
254,"1 Nonmusician","3 Limited working proficiency","male",28,"DZ","Africa"
255,"2 Music-loving nonmusician","3 Limited working proficiency","male",21,"HU","Europe"
256,"2 Music-loving nonmusician","2 Elementary proficiency","female",38,"RS","Europe"
257,"3 Amateur musician","2 Elementary proficiency","female",35,"RO","Europe"
258,"5 Semi-professional musician","6 Native or bilingual proficiency","male",34,"RS","Europe"
259,"2 Music-loving nonmusician","2 Elementary proficiency","female",41,"RS","Europe"
260,"1 Nonmusician","4 Professional working proficiency","male",43,"ID","Asia"
261,"2 Music-loving nonmusician","3 Limited working proficiency","male",28,"MX","North America"
262,"1 Nonmusician","6 Native or bilingual proficiency","female",28,"TR","Asia"
264,"2 Music-loving nonmusician","3 Limited working proficiency","male",26,"IN","Asia"
266,"2 Music-loving nonmusician","3 Limited working proficiency","female",31,"BA","Europe"
267,"1 Nonmusician","2 Elementary proficiency","male",,"TR","Asia"
268,"3 Amateur musician","2 Elementary proficiency","male",30,"DZ","Africa"
270,"3 Amateur musician","2 Elementary proficiency","female",31,"GR","Europe"
271,"2 Music-loving nonmusician","3 Limited working proficiency","male",29,"HU","Europe"
273,"2 Music-loving nonmusician","4 Professional working proficiency","male",36,"ES","Europe"
274,"2 Music-loving nonmusician","2 Elementary proficiency","male",23,"RO","Europe"
275,"2 Music-loving nonmusician","4 Professional working proficiency","male",28,"BA","Europe"
277,"2 Music-loving nonmusician","3 Limited working proficiency","male",19,"IN","Asia"
278,"1 Nonmusician","2 Elementary proficiency","male",28,"ID","Asia"
279,"2 Music-loving nonmusician","3 Limited working proficiency","male",39,"IL","Asia"
280,"2 Music-loving nonmusician","4 Professional working proficiency","male",33,"PT","Europe"
281,"6 Professional musician","2 Elementary proficiency","male",36,"PT","Europe"
282,"2 Music-loving nonmusician","1 No proficiency","male",40,"GR","Europe"
283,"2 Music-loving nonmusician","5 Full professional proficiency","male",32,"RS","Europe"
285,"4 Serious amateur musician","3 Limited working proficiency","male",19,"PT","Europe"
287,"1 Nonmusician","3 Limited working proficiency","male",25,"PL","Europe"
289,"1 Nonmusician","2 Elementary proficiency","male",30,"PL","Europe"
290,"2 Music-loving nonmusician","4 Professional working proficiency","male",38,"IN","Asia"
291,"2 Music-loving nonmusician","3 Limited working proficiency","female",53,"AR","South America"
293,"2 Music-loving nonmusician","3 Limited working proficiency","male",23,"","Europe"
294,"3 Amateur musician","3 Limited working proficiency","male",25,"RO","Europe"
295,"2 Music-loving nonmusician","2 Elementary proficiency","male",27,"TR","Asia"
296,"1 Nonmusician","4 Professional working proficiency","male",30,"PT","Europe"
297,"1 Nonmusician","4 Professional working proficiency","male",44,"MY","Asia"
299,"2 Music-loving nonmusician","4 Professional working proficiency","male",28,"PK","Asia"
300,"2 Music-loving nonmusician","5 Full professional proficiency","male",24,"MK","Europe"
301,"2 Music-loving nonmusician","3 Limited working proficiency","male",36,"BA","Europe"
302,"3 Amateur musician","2 Elementary proficiency","male",20,"DE","Europe"
303,"2 Music-loving nonmusician","2 Elementary proficiency","male",35,"BR","South America"
304,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",36,"CA","North America"
306,"2 Music-loving nonmusician","2 Elementary proficiency","male",44,"MX","North America"
308,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",30,"GR","Europe"
309,"2 Music-loving nonmusician","4 Professional working proficiency","female",,"TR","Asia"
311,"3 Amateur musician","2 Elementary proficiency","male",32,"BA","Europe"
312,"2 Music-loving nonmusician","2 Elementary proficiency","male",22,"ES","Europe"
313,"2 Music-loving nonmusician","4 Professional working proficiency","female",46,"GR","Europe"
315,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",39,"US","North America"
316,"3 Amateur musician","6 Native or bilingual proficiency","male",38,"FI","Europe"
318,"2 Music-loving nonmusician","4 Professional working proficiency","male",20,"BA","Europe"
322,"1 Nonmusician","2 Elementary proficiency","female",22,"EG","Africa"
323,"2 Music-loving nonmusician","3 Limited working proficiency","female",,"ES","Europe"
324,"2 Music-loving nonmusician","4 Professional working proficiency","male",29,"PH","Asia"
325,"1 Nonmusician","3 Limited working proficiency","male",46,"BG","Europe"
326,"2 Music-loving nonmusician","4 Professional working proficiency","male",,"RO","Europe"
328,"2 Music-loving nonmusician","3 Limited working proficiency","male",20,"PH","Asia"
329,"2 Music-loving nonmusician","3 Limited working proficiency","female",62,"IT","Europe"
333,"2 Music-loving nonmusician","4 Professional working proficiency","male",25,"MY","Asia"
334,"2 Music-loving nonmusician","3 Limited working proficiency","female",37,"ES","Europe"
335,"2 Music-loving nonmusician","4 Professional working proficiency","female",31,"MX","North America"
336,"2 Music-loving nonmusician","3 Limited working proficiency","male",44,"TR","Asia"
337,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",27,"PT","Europe"
338,"1 Nonmusician","4 Professional working proficiency","male",22,"EG","Africa"
340,"2 Music-loving nonmusician","5 Full professional proficiency","male",36,"DE","Europe"
341,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",32,"CA","North America"
342,"3 Amateur musician","2 Elementary proficiency","male",20,"EG","Africa"
345,"2 Music-loving nonmusician","4 Professional working proficiency","female",36,"TZ","Africa"
346,"3 Amateur musician","4 Professional working proficiency","male",21,"DO","North America"
347,"3 Amateur musician","2 Elementary proficiency","male",33,"UA","Europe"
348,"2 Music-loving nonmusician","3 Limited working proficiency","male",34,"RO","Europe"
349,"1 Nonmusician","2 Elementary proficiency","male",28,"TR","Asia"
350,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",26,"BA","Europe"
351,"2 Music-loving nonmusician","2 Elementary proficiency","male",19,"IN","Asia"
353,"6 Professional musician","5 Full professional proficiency","male",32,"TR","Asia"
354,"2 Music-loving nonmusician","4 Professional working proficiency","male",22,"IN","Asia"
356,"1 Nonmusician","2 Elementary proficiency","male",36,"VE","South America"
358,"2 Music-loving nonmusician","5 Full professional proficiency","female",,"JM","North America"
360,"2 Music-loving nonmusician","5 Full professional proficiency","male",20,"RS","Europe"
361,"1 Nonmusician","4 Professional working proficiency","female",23,"PH","Asia"
363,"2 Music-loving nonmusician","3 Limited working proficiency","female",32,"IT","Europe"
364,"3 Amateur musician","6 Native or bilingual proficiency","female",59,"JM","North America"
368,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",29,"CA","North America"
371,"1 Nonmusician","4 Professional working proficiency","male",31,"BA","Europe"
372,"3 Amateur musician","4 Professional working proficiency","male",32,"TR","Asia"
374,"1 Nonmusician","4 Professional working proficiency","female",28,"PL","Europe"
375,"3 Amateur musician","6 Native or bilingual proficiency","male",46,"GR","Europe"
376,"1 Nonmusician","3 Limited working proficiency","male",40,"IN","Asia"
378,"2 Music-loving nonmusician","3 Limited working proficiency","male",40,"RS","Europe"
380,"3 Amateur musician","1 No proficiency","male",34,"RU","Europe"
381,"1 Nonmusician","3 Limited working proficiency","female",39,"BG","Europe"
382,"2 Music-loving nonmusician","2 Elementary proficiency","male",28,"TR","Asia"
383,"2 Music-loving nonmusician","2 Elementary proficiency","male",32,"BA","Europe"
386,"3 Amateur musician","5 Full professional proficiency","male",37,"AR","South America"
387,"1 Nonmusician","3 Limited working proficiency","male",,"GR","Europe"
389,"6 Professional musician","4 Professional working proficiency","male",38,"AR","South America"
390,"2 Music-loving nonmusician","4 Professional working proficiency","male",40,"PT","Europe"
391,"2 Music-loving nonmusician","2 Elementary proficiency","male",30,"RS","Europe"
392,"1 Nonmusician","4 Professional working proficiency","male",32,"PL","Europe"
393,"1 Nonmusician","4 Professional working proficiency","male",22,"BG","Europe"
394,"2 Music-loving nonmusician","3 Limited working proficiency","male",24,"TR","Asia"
395,"2 Music-loving nonmusician","5 Full professional proficiency","male",28,"MX","North America"
400,"2 Music-loving nonmusician","2 Elementary proficiency","male",36,"RS","Europe"
402,"2 Music-loving nonmusician","1 No proficiency","female",27,"PL","Europe"
403,"2 Music-loving nonmusician","2 Elementary proficiency","male",31,"IN","Asia"
404,"4 Serious amateur musician","2 Elementary proficiency","male",26,"ES","Europe"
405,"2 Music-loving nonmusician","2 Elementary proficiency","male",35,"BO","South America"
406,"4 Serious amateur musician","4 Professional working proficiency","male",45,"BA","Europe"
408,"3 Amateur musician","2 Elementary proficiency","male",30,"IN","Asia"
410,"2 Music-loving nonmusician","3 Limited working proficiency","female",26,"RS","Europe"
412,"2 Music-loving nonmusician","5 Full professional proficiency","female",23,"PH","Asia"
413,"1 Nonmusician","2 Elementary proficiency","female",37,"EE","Europe"
414,"1 Nonmusician","1 No proficiency","male",43,"UA","Europe"
415,"4 Serious amateur musician","3 Limited working proficiency","other",31,"IT","Europe"
416,"1 Nonmusician","5 Full professional proficiency","male",25,"BD","Asia"
420,"2 Music-loving nonmusician","3 Limited working proficiency","male",38,"RS","Europe"
421,"3 Amateur musician","2 Elementary proficiency","male",21,"BA","Europe"
423,"3 Amateur musician","2 Elementary proficiency","male",27,"VE","South America"
424,"2 Music-loving nonmusician","4 Professional working proficiency","male",30,"DE","Europe"
425,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",45,"US","North America"
427,"1 Nonmusician","3 Limited working proficiency","male",31,"RU","Europe"
429,"1 Nonmusician","2 Elementary proficiency","male",33,"MX","North America"
430,"4 Serious amateur musician","2 Elementary proficiency","male",24,"HR","Europe"
432,"1 Nonmusician","2 Elementary proficiency","male",35,"BA","Europe"
433,"3 Amateur musician","2 Elementary proficiency","male",,"GR","Europe"
435,"1 Nonmusician","2 Elementary proficiency","female",44,"US","North America"
436,"1 Nonmusician","5 Full professional proficiency","male",25,"BG","Europe"
438,"1 Nonmusician","3 Limited working proficiency","female",28,"ID","Asia"
440,"3 Amateur musician","2 Elementary proficiency","male",49,"RS","Europe"
444,"3 Amateur musician","1 No proficiency","male",25,"VE","South America"
445,"1 Nonmusician","2 Elementary proficiency","male",25,"BA","Europe"
447,"2 Music-loving nonmusician","3 Limited working proficiency","male",45,"RS","Europe"
448,"1 Nonmusician","4 Professional working proficiency","male",36,"ES","Europe"
450,"3 Amateur musician","5 Full professional proficiency","male",26,"PT","Europe"
451,"4 Serious amateur musician","4 Professional working proficiency","male",20,"EG","Africa"
453,"2 Music-loving nonmusician","3 Limited working proficiency","male",32,"BA","Europe"
454,"1 Nonmusician","1 No proficiency","male",42,"GR","Europe"
455,"2 Music-loving nonmusician","4 Professional working proficiency","female",46,"PH","Asia"
457,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",71,"CA","North America"
459,"3 Amateur musician","3 Limited working proficiency","male",28,"VE","South America"
460,"1 Nonmusician","1 No proficiency","female",45,"BG","Europe"
462,"2 Music-loving nonmusician","4 Professional working proficiency","female",24,"RO","Europe"
464,"2 Music-loving nonmusician","5 Full professional proficiency","male",23,"VE","South America"
466,"1 Nonmusician","3 Limited working proficiency","female",29,"ES","Europe"
467,"5 Semi-professional musician","2 Elementary proficiency","male",25,"PT","Europe"
471,"2 Music-loving nonmusician","1 No proficiency","female",22,"US","North America"
472,"1 Nonmusician","4 Professional working proficiency","male",52,"US","North America"
473,"2 Music-loving nonmusician","4 Professional working proficiency","male",34,"HR","Europe"
477,"1 Nonmusician","3 Limited working proficiency","male",38,"ES","Europe"
478,"2 Music-loving nonmusician","3 Limited working proficiency","female",43,"IT","Europe"
479,"2 Music-loving nonmusician","4 Professional working proficiency","female",40,"BA","Europe"
481,"1 Nonmusician","3 Limited working proficiency","male",38,"TR","Asia"
482,"3 Amateur musician","6 Native or bilingual proficiency","female",27,"RO","Europe"
